Is De Berg Pass located in Lydenburg ?|Yes|PLACE|De Berg Pass is situated in the Mpumalanga province on the R577 road between Lydenburg and Stoffberg ( South Africa ) .|['']|De Berg Pass::bn:01846160n|Lydenburg::bn:00574424n|1945499512
Where is Brougham Hall located ?|Brougham|PLACE|Brougham Hall is located in the village of Brougham just outside Penrith , Cumbria , England .|['']|Brougham Hall::bn:00187005n|Brougham::bn:00013383n|-489285575
What can do monitor personal emails in the workplace?|companies|ACTIVITY|Generally speaking , the factors courts use to determine whether companies can monitor and read personal emails in the workplace include : ( i ) the use of a company email account versus a personal email account and ( ii ) the presence of a clear company policy notifying employees that they should have no expectation of privacy when sending or reading emails at work , using company equipment , or when accessing personal accounts at work or on work equipment .|['']|bn:00021286n|bn:00090897v bn:00108488a bn:00029345n in the bn:00081570n|-100306213
is World War I in Weissensee, Berlin?|yes|PLACE|World War I located in Weissensee, Berlin|['']|World War I|Weissensee, Berlin|-1011815693
What can do compete fictional characters?|the player|ACTIVITY|Legends of Wrestling II  also features fictional characters that the player can compete against but not use themselves .|['']|the bn:00001176n|bn:00085468v fictional bn:00017746n|487356643
What can do be in assembly language programs ,?|the meaning and purpose of a sequence of binary machine instructions|ACTIVITY|Judicious commenting is essential in assembly language programs , as the meaning and purpose of a sequence of binary machine instructions can be difficult to determine .|['']|the meaning and bn:00074900n of a bn:00070574n of bn:00010479n bn:00052556n bn:00027356n|be in bn:00006490n bn:00062759n ,|629989719
Do Allan formed Rokket Music In 2009 ?|Yes|TIME|2009 , together with Jan Weckström , Allan formed Rokket Music ,|['']|Allan formed Rokket Music |2009|-370099224
Is album was released globally at_timeApril 2010 ?|Yes|TIME|album was released globally on 27 April 2010 ,|['']|album was released globally at_time|April 2010::bn:00649659n|-802574625
Can Alexandria be found in State Route ?|Yes|PLACE|Alexandria is located on State Route 37 about southeast of Johnstown, Ohio .|['']|Alexandria::bn:00002630n|State Route::bn:15109949n|178880075
What can The tepals do?|The tepals can enlarge wings , spines or long hairs ,|ACTIVITY|The tepals can enlarge , or develop wings , spines or long hairs , or become fleshy or woody .|['']|The bn:00076570n|bn:00087650v bn:00081336n , bn:00007731n or long bn:00042526n ,|178247938
What can do block a point?|one checker by itself|ACTIVITY|<br> Fevga : A game where one checker by itself can block a point .|['']|one bn:00018001n by itself|bn:00083103v a bn:00063213n|-913435011
Is the group small?|Yes|SIZE|In 2005 , the Saskatchewan Human Rights Tribunal fined Bill Whatcott , leader of a small group called the Christian Truth Activists , $ 17,500 because he distributed flyers that had controversial comments about homosexuals .|['']|bn:00041942n|small|-20012610
What is Great Northern Depot ?|a depot|GENERALIZATION|Great Northern Depot in Wayzata, Minnesota is a depot built|['']|Great Northern Depot|depot::bn:00026387n|998126189
Is Waste Land a month?|yes|GENERALIZATION|Among its famous phrases are Waste Land is the cruellest month , I will show you fear in a handful of dust , and the mantra in the Sanskrit language Shantih shantih shantih .|['']|Waste Land::bn:02322320n|month::bn:00014710n|1229834410
Where is Friesenrath located ?|Eifel|PLACE|Friesenrath is located in the valley of the creek Inde at the edge of the low mountain range Eifel , 11 km southeast of the centre of Aachen .|['']|Friesenrath::bn:02877880n|Eifel::bn:01168627n|2048785712
When land was originally conveyed  ?|in October 1666|TIME|land was originally conveyed to his father , also John Milk , in October 1666 .|['']|land was originally conveyed |October 1666|-1414960891
Is Sport climbing a fraction of Operation Market Garden?|no|PART|Sport climbing was part of the World Games from the edition of Duisburg 2005 . |['']|bn:03649856n|bn:03371410n|1477666637
Do Lawani have Chief Steven Lawani -LRB- December 1947 -RRB- early education at St. Augustine Primary School Otukpo Mount St. Michaels school ?|Yes|PART|Lawani had his early education at St. Augustine Primary School Otukpo then Mount St. Michaels secondary school Aliade|['']|Chief Steven Lawani -LRB- December 1947 -RRB- early education at St. Augustine Primary School Otukpo Mount St. Michaels school|Lawani|382931823
Is Imbal a technique?|yes|GENERALIZATION|Imbal or imbalan is a technique used in Javanese gamelan .|['']|Imbal::bn:03279989n|technique::bn:00064626n|-885002526
When Glacier Basin Campground Ranger Station was built  ?|in 1930|TIME|Glacier Basin Campground Ranger Station in Rocky Mountain National Park was built in 1930 to|['']|Glacier Basin Campground Ranger Station was built |1930|-1691899861
Is Maria Kimberly a model ?|Yes|GENERALIZATION|She was a top model in|['']|Maria Kimberly::bn:01359830n|model::bn:00036197n|852486126
Do LDS Church began in 1986 ?|Yes|TIME|LDS Church began in the Zaire in 1986 ,|['']|LDS Church began |1986|143852499
Is Yeovil Rural District composed by Thiruvottiyur (State Assembly Constituency)?|no|PART|Thiruvottiyur (State Assembly Constituency) is part of Chennai North (Lok Sabha constituency) . |['']|bn:01654384n|bn:01854597n|-837661288
